produto;precos;quantidade de parcelas
"Notebook Gamer Acer Nitro V15 Intel Core i5-13420H, 8GB RAM, GeForce RTX 3050, SSD 512GB, 15.6"" FHD IPS 144Hz, Windows 11, Preto - ANV15-51-58AZ";4699.99;10x  522.22
"MacBook Air Apple 13"", M1, CPU 8 Núcleos, GPU 7 Núcleos, 8GB RAM, SSD 256GB, Cinza Espacial - MGN63BZ/A";4740.5;10x  499.00
Monitor Gamer Asus TUF 31.5 LED 2K QHD, 165Hz, 1ms, HDMI e DisplayPort, HDR, 120% sRGB, FreeSync Premium, Som Integrado, VESA - VG32VQ1B;2099.99;10x  233.33
"Monitor Gamer Curvo LG UltraGear LG 34"", UltraWide, 160Hz, WQHD, 1ms, DisplayPort e HDMI, AMD FreeSync Premium, HDR10, 99% sRGB - 34GP63A-B";1899.99;10x  211.11
Monitor Gamer LG Ultragear 24” LED, 180Hz, 1ms, HDR10, AMD Freesync, DisplayPort, HDMI - 24gs60f-b;1009.48;10x  112.16
Monitor Gamer AORUS 27 QHD, 240Hz, 0.03ms, QD-OLED, HDMI e DisplayPort, 99% DCI-P3, HDR, FreeSync, Altura Ajustável - AORUS FO27Q2 SA;6499.99;10x  722.22
Monitor Gamer Husky Storm 27' LED, Curvo, 180Hz, Full HD, 1ms, DisplayPort e HDMI, 99% sRGB, Adaptive Sync, Ajuste de Ângulo - HGMT001;944.9;10x  104.98
"Notebook Acer Aspire 5 AMD Ryzen7-5700U, 16GB RAM, SSD 512GB, 15.6"" FHD IPS, AMD Radeon, Linux, Prata - A515-45-R74N";3199.0;10x  355.44
Monitor Profissional Asus ProArt 27 4K UHD, Wide, IPS, HDMI e DisplayPort, 100% sRGB, ProArt Preset/ProArt Palette - PA279CV;3599.99;10x  399.99
"Macbook Pro Apple A3112, Chip M4, 10 Core, 10 GPU, 16GB RAM, SSD 512GB, Tela 14.2"" Retina, Preto Espacial - Mw2u3bz/A";13699.0;10x  1522.11
Monitor Gamer Husky Blizzard 27' LED Full HD, 240Hz, 1ms, HDMI e DisplayPort, 99% sRGB, Adaptive Sync, Ajuste de Altura - HGMT006;1184.9;10x  131.65
"Monitor Gamer Curvo MSI MAG 276CXF, 27"" FHD, VA, HDR, 280Hz, 0.5ms, Adaptive-Sync, DP e HDMI, Curva 1500R, Preto - 9S6-3CE01M-017";1599.99;10x  177.77
"Monitor Gamer Curvo Husky Tempest 34"", Ultrawide, 180Hz, QHD, 1ms, DisplayPort e HDMI, Adaptive Sync, 99% sRGB, Preto - HGMT005";1899.0;10x  211.00
"Monitor Gamer Curvo ASUS TUF 23.6"", 165Hz, Full HD, 1ms, DisplayPort e HDMI, Adaptive Sync, VESA, Preto - VG24VQE";1999.99;10x  222.22
"Notebook Gamer ASUS ROG Strix G16 Intel Core i7-13650HX, 8GB RAM, RTX 4050, SSD 512GB, 16"" FHD, 165Hz, IPS, KeepOS, Eclipse Gray - G614JU-N3367";8899.0;10x  988.77
"Monitor Gamer LG UltraGear 27"" FHD, IPS, 180Hz, 1ms GTG, HDR10, DisplayPort e HDMI, G-Sync, FreeSync, Preto - 27GS60F-B";979.99;10x  108.88
"Monitor Gamer LG UltraGear 27"" QHD, IPS, 240 hz, 1ms GTG, HDR400, G-SYNC ? 27GR83Q";2999.99;10x  333.33
"Monitor Gamer Samsung 27"" Full HD, Wide, 75Hz, IPS, HDMI, FreeSync, VESA, Preto - LF27T350FHLMZD";749.99;10x  83.33
"Monitor Gamer Samsung Odyssey G3, 27"" Full HD, 180Hz, 1ms, HDMI e DP, Ajuste de Altura, Freesync, Preto - LS27DG300ELXZD";1099.99;10x  122.22
"Monitor Gamer Corsair Xeneon 27"" OLED, 240Hz, QHD, 0.03ms, HDR, G-Sync e FreeSync Premium, Preto - CM-9030002-NA";5299.99;10x  588.88
"Monitor Gamer ASUS TUF 23.8"", 165Hz, Full HD, 1ms, DisplayPort e HDMI, FreeSync Premium, Som Integrado, Extreme Low Motion Blue - VG247Q1A";1699.99;10x  188.88
"Monitor Gamer Curvo Philco 32"", 165Hz, Full HD, 1ms, DisplayPort e HDMI, HDR 10, FreeSync - PMG32C900FG";1999.99;10x  222.22
"Monitor Gamer Curvo Philco 27"", 165Hz, Full HD, 1ms, DisplayPort e HDMI, FreeSync, HDR 10 - PMG27C900FG";1355.0;10x  150.55
"Monitor Gamer Rise Mode 32"" 2K, 165hz, 1ms, IPS, Preto, HDMI e DisplayPort, sRGB 99%, Suporte Vesa - RM-MOG-32F1652K-B";1499.99;10x  166.66
"Monitor Curvo LG MyView Smart 34SR60QC-B 34"" WQuadHD, WebOS, ThinQ Home, Air Play, USB e HDMI, Bluetooth, Preto - 34SR60QC-B.AWZM";2099.99;10x  233.33
"MacBook Pro Apple 16"", M4 Max, CPU 14 Núcleos, GPU 32 Núcleos, Neural Engine de 16 Núcleos, 36GB RAM, SSD 1TB, Preto-espacial - MX303BZ/A";29999.99;10x  3333.33
"Notebook Gamer ASUS ROG Strix G16 Intel Core i7 13650HX, 16GB RAM, SSD 512GB, Tela 16"" FHD, RTX 4050, KeepOS, Eclipse Gray - G614JU-N3380";9199.0;10x  1022.11
"Monitor Gamer LG UltraGear 32"", 165Hz, QHD, 1ms, DisplayPort e HDMI, 95% sRGB, FreeSync Premium, HDR 10, VESA, Preto - 32GN600-B";1299.99;10x  144.44
"Monitor Gamer Rise Mode 27"" Full HD, 165hz, IPS, Preto, DisplayPort e HDMI, sRGB 99%, Suporte Vesa - RM-MOG-27F165FH-B";799.99;10x  88.88
